Name,Room Type,Days of Stay,Price per Night ($),# of tenants,Total Reviews,Experience Rating,Cleanliness Rating,Checkin Rating,Communication Rating,Location Rating,Overall Rating,Bayesian Rating
"Stunning views, comfort, location!!",Entire home/apt,31,100.0,2,1,10.0,8.0,10.0,10.0,10.0,48.0,48.40862861891803
Heritage Loft in heart of Gastown,Entire home/apt,14,225.0,1,68,9.8,10.0,10.0,10.0,10.0,49.8,48.5387955812913
Luxury Coach House in Kitsilano,Entire home/apt,2,250.0,6-10,11,10.0,10.0,10.0,10.0,10.0,50.0,48.43524632146011
FABULOUS Luxury Downtown Vancouver!,Entire home/apt,120,99.0,3,52,9.600000000000001,9.0,10.0,10.0,10.0,48.6,48.42313833941549
D27 - 3 Bedroom in Coal Harbour,Entire home/apt,90,197.0,5,2,10.0,10.0,10.0,10.0,10.0,50.0,48.41403731075701
Sunset views - LGBTQ2+ friendly,Private room,2,70.0,1,72,9.9,10.0,10.0,10.0,10.0,49.9,48.555477894199804
Close to downtown/shops/restaurants/skytrain,Entire home/apt,30,100.0,6-10,6,8.0,7.0,9.0,7.0,8.0,39.0,48.32473169811775
Modern yaletown apartment with view!,Entire home/apt,30,175.0,1,142,9.8,10.0,10.0,10.0,10.0,49.8,48.65487658500331
Fully furnished suite for long term tenant,Entire home/apt,180,168.0,1,71,9.5,10.0,10.0,10.0,10.0,49.5,48.514898737165964
Stylish Modern Central Downtown★★★★★★★,Private room,30,237.0,1,44,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.489689482071746
Bright Spacious Bedroom Pvt Bath,Private room,30,48.0,1,57,9.4,9.0,10.0,10.0,10.0,48.4,48.40851289894667
"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",Private room,1,80.0,1,209,9.4,10.0,10.0,10.0,9.0,48.4,48.40702729545655
Trendy & Spacious 2 bd Gastown Loft,Entire home/apt,3,206.0,3,74,9.700000000000001,10.0,10.0,10.0,9.0,48.7,48.43847931296556
1 Bdrm Apartment Downtown Vancouver,Entire home/apt,3,137.0,1,51,9.5,10.0,10.0,10.0,9.0,48.5,48.41573741142027
Modern Charm – Walk everywhere!,Entire home/apt,30,148.0,1,257,9.8,10.0,10.0,10.0,10.0,49.8,48.798172768599194
Lovely large room w/ private bath,Private room,30,85.0,1,44,9.3,9.0,10.0,10.0,9.0,47.3,48.34011441125022
Beautiful room (s) Vancouver Home,Private room,30,85.0,1,35,8.700000000000001,9.0,9.0,9.0,9.0,44.7,48.222985329042544
Entire 1400sf white loft with large deck + rooftop,Entire home/apt,1,347.0,2,137,9.700000000000001,10.0,9.0,10.0,10.0,48.7,48.45909984273173
condos in vancouver BC,Entire home/apt,1,344.0,3,1,8.0,8.0,10.0,10.0,10.0,46.0,48.405612027666145
"Downtown 1Bed+Den, stylish & modern",Entire home/apt,31,124.0,3,157,9.8,10.0,10.0,10.0,10.0,49.8,48.675849541321924
Central Modern House with View and 2 Kitchens,Entire home/apt,5,500.0,6-10,29,9.4,9.0,10.0,10.0,9.0,47.4,48.36688968790544
LEVEL | One Bedroom Suite | Downtown Vancouver,Entire home/apt,30,299.0,3,3,10.0,10.0,10.0,10.0,9.0,49.0,48.41191093886113
Adorable 2 Bedroom Cambie Craftsman - Garden Suite,Entire home/apt,2,90.0,3,31,9.3,9.0,10.0,10.0,10.0,48.3,48.404358981735434
Modern Architectural lakeside Home On The Park,Entire home/apt,1,425.0,5,33,9.700000000000001,10.0,10.0,10.0,10.0,49.7,48.47053348826282
Commercial Dr West Coast Garden Ste,Entire home/apt,30,80.0,1,187,9.8,10.0,10.0,10.0,10.0,49.8,48.71557217237062
Sub-Penthouse with Amazing Views in Heart of City,Entire home/apt,2,550.0,5,41,9.9,10.0,10.0,10.0,10.0,49.9,48.49618886819723
Quiet Oasis Garden Suite - Steps from the Drive,Entire home/apt,30,82.0,1,57,9.700000000000001,10.0,10.0,10.0,9.0,48.7,48.43229593093554
English Bay Hideaway @ Stanley Park,Entire home/apt,30,130.0,3,59,9.5,9.0,10.0,10.0,10.0,48.5,48.41667236385943
1 Bedroom Private Furnished Suite,Entire home/apt,30,77.0,1,22,9.5,10.0,10.0,10.0,9.0,48.5,48.41216487476996
Nice room in amazing luxury home near DOWNTOWN+UBC,Private room,31,93.0,1,27,8.700000000000001,9.0,9.0,10.0,9.0,45.7,48.303078046941444
Entire cute  condo full of art,Entire home/apt,3,97.0,1,157,9.600000000000001,10.0,10.0,10.0,10.0,49.6,48.63751010298249
Luxury Seaview Studio Suite - Westend,Entire home/apt,30,135.0,1,76,9.5,10.0,10.0,10.0,10.0,49.5,48.52157286496294
1 bedroom apartment - Amazing Location 29,Entire home/apt,30,141.0,2,4,8.5,8.0,10.0,10.0,10.0,46.5,48.39777894045444
Kitsilano Laneway House - Quiet Neighbourhood,Entire home/apt,31,150.0,1,11,9.8,10.0,10.0,10.0,10.0,49.8,48.43197737643782
Kitsilano 2 bdrm Garden Level Suite,Entire home/apt,2,125.0,3,78,9.700000000000001,9.0,10.0,10.0,10.0,48.7,48.439892938300886
Very Convenient Mini-suite,Entire home/apt,5,51.0,1,179,9.5,10.0,10.0,10.0,10.0,49.5,48.64140401229804
LEVEL | Studio | Lux Amenities Downtown Vancouver,Entire home/apt,30,199.0,1,4,10.0,10.0,10.0,10.0,10.0,50.0,48.41879996147546
LEVEL | Two Bedroom Suite | Lux Amenities Downtown,Entire home/apt,30,350.0,5,7,9.1,9.0,10.0,8.0,9.0,45.1,48.37461999154358
The Garden Quarter in Kitsilano,Entire home/apt,30,66.0,1,48,9.600000000000001,9.0,10.0,10.0,10.0,48.6,48.42214193569388
The Nook in Kitsilano,Private room,14,47.0,1,62,9.8,10.0,10.0,10.0,10.0,49.8,48.52834361097052
The Garden Nook in Kitsilano,Entire home/apt,30,114.0,2,3,10.0,10.0,10.0,10.0,10.0,50.0,48.41642221705663
Studio apartment-like a 3+star hotel,Entire home/apt,90,120.0,1,57,9.3,9.0,10.0,10.0,10.0,48.3,48.40058522161705
fully furnished suite near VGH,Entire home/apt,30,75.0,1,22,9.1,10.0,10.0,10.0,10.0,49.1,48.431463120384
East Village Private Garden Gem!,Entire home/apt,31,84.0,1,63,9.3,9.0,10.0,10.0,9.0,47.3,48.31285624047263
1 bedroom+Den Monthly rentals only,Entire home/apt,30,125.0,3,3,10.0,10.0,10.0,10.0,10.0,50.0,48.41642221705663
Sunny room with private bathroom and large patio,Private room,6,79.0,1,51,9.0,9.0,10.0,10.0,10.0,48.0,48.37997303554369
Heritage Home near Kits Beach,Entire home/apt,7,275.0,4,32,9.5,10.0,10.0,10.0,10.0,49.5,48.459540020666644
"Dunbar near UBC, modern + clean",Entire home/apt,3,130.0,1,193,9.9,10.0,10.0,10.0,10.0,49.9,48.74575529162884
"Amazing, modern, clean apt just off Commercial Dr",Entire home/apt,3,100.0,2,148,9.0,9.0,9.0,9.0,10.0,46.0,47.96903799301562
Modern Serenity - Heart of Yaletown/Downtown,Entire home/apt,90,130.0,1,4,9.0,9.0,9.0,9.0,9.0,45.0,48.38876993144543
Private apartment-Yaletown Downtown,Entire home/apt,30,499.0,3,10,8.4,9.0,8.0,9.0,9.0,43.4,48.334703533248
Oakridge Canada Line completely renovated home,Entire home/apt,1,219.0,3,7,8.700000000000001,8.0,9.0,9.0,10.0,44.7,48.37043464027303
Spacious Room in Character Home,Private room,4,55.0,1,5,10.0,10.0,10.0,10.0,10.0,50.0,48.42117057622587
"261 Yaletown Studio at ""Space""",Entire home/apt,30,70.0,1,7,9.4,9.0,9.0,9.0,10.0,46.4,48.38822238317288
152 Studio (no Bedroom),Entire home/apt,30,61.0,1,1,10.0,10.0,10.0,10.0,10.0,50.0,48.411645210169915
159 2 BEDROOM/ 2 FULL BATH-ideal for sharing!,Entire home/apt,30,88.0,3,12,9.200000000000001,9.0,10.0,10.0,10.0,48.2,48.40552043671018
